UserID,Full_Name,Gender,Race,Age,Age_Group,Age_Category,Email,Social_Media_Handle,Province,Channel2,RecordDate2,Duration2,Hours,Minutes,Seconds,Record_Date,Record_Time,Month_Name,DayOfWeek,Day_Type,Time_Category,Activity_Status
808923,Art Nicholls,male,other,23,Young Adult,18–24,Art405@mailxyzcom,@Art40,Eastern Cape,SuperSport Blitz,2016/02/21 18:03,2025-09-15 00:01:12,0,1,12,2016-02-21,2025-09-21 18:03:00,February,Sunday,Weekend,Evening,Active
808923,Art Nicholls,male,other,23,Young Adult,18–24,Art405@mailxyzcom,@Art40,Eastern Cape,Trace TV,2016/02/17 18:45,2025-09-15 00:13:21,0,13,21,2016-02-17,2025-09-21 18:45:00,February,Wednesday,Weekday,Evening,Active
630977,Stacy Wigfall,male,coloured,28,Young Adult,25–34,Stacy274@abcmailcom,@Stacy27,Gauteng,Trace TV,2016/01/16 09:52,2025-09-15 00:00:15,0,0,15,2016-01-16,2025-09-21 09:52:00,January,Saturday,Weekend,Morning,Active
850656,Carter Hoadley,male,black,26,Young Adult,25–34,Carter33@mailcom,@Carter3,Mpumalanga,Africa Magic,2016/03/05 21:12,2025-09-15 00:00:17,0,0,17,2016-03-05,2025-09-21 21:12:00,March,Saturday,Weekend,Night,Active
850656,Carter Hoadley,male,black,26,Young Adult,25–34,Carter33@mailcom,@Carter3,Mpumalanga,Channel O,2016/03/06 05:25,2025-09-15 00:00:00,0,0,0,2016-03-06,2025-09-21 05:25:00,March,Sunday,Weekend,Morning,Active
850656,Carter Hoadley,male,black,26,Young Adult,25–34,Carter33@mailcom,@Carter3,Mpumalanga,Africa Magic,2016/03/06 07:09,2025-09-15 00:00:00,0,0,0,2016-03-06,2025-09-21 07:09:00,March,Sunday,Weekend,Morning,Active
2368365,Loyd Pascarella,male,coloured,27,Young Adult,25–34,Loyd494@abcmailcom,@Loyd49,Limpopo,ICC Cricket World Cup 2011,2016/03/30 11:17,2025-09-15 00:38:12,0,38,12,2016-03-30,2025-09-21 11:17:00,March,Wednesday,Weekday,Morning,Active
1106115,Irmgard Bilyeu,female,black,26,Young Adult,25–34,Irmgard413@mailcom,@Irmgard41,Western Cape,Africa Magic,2016/01/11 16:06,2025-09-15 00:06:26,0,6,26,2016-01-11,2025-09-21 16:06:00,January,Monday,Weekday,Afternoon,Active
1106115,Irmgard Bilyeu,female,black,26,Young Adult,25–34,Irmgard413@mailcom,@Irmgard41,Western Cape,Trace TV,2016/01/11 15:33,2025-09-15 00:05:57,0,5,57,2016-01-11,2025-09-21 15:33:00,January,Monday,Weekday,Afternoon,Active
820387,Markus Hoadley,male,black,15,Teen,Under 18,Markus191@yahoocom,@Markus19,Limpopo,SuperSport Blitz,2016/01/27 13:54,2025-09-15 00:12:08,0,12,8,2016-01-27,2025-09-21 13:54:00,January,Wednesday,Weekday,Afternoon,Active
820387,Markus Hoadley,male,black,15,Teen,Under 18,Markus191@yahoocom,@Markus19,Limpopo,Cartoon Network,2016/01/27 09:52,2025-09-15 00:01:27,0,1,27,2016-01-27,2025-09-21 09:52:00,January,Wednesday,Weekday,Morning,Active
820387,Markus Hoadley,male,black,15,Teen,Under 18,Markus191@yahoocom,@Markus19,Limpopo,Channel O,2016/01/25 10:07,2025-09-15 00:00:57,0,0,57,2016-01-25,2025-09-21 10:07:00,January,Monday,Weekday,Morning,Active
820387,Markus Hoadley,male,black,15,Teen,Under 18,Markus191@yahoocom,@Markus19,Limpopo,SuperSport Blitz,2016/01/26 19:30,2025-09-15 00:07:30,0,7,30,2016-01-26,2025-09-21 19:30:00,January,Tuesday,Weekday,Evening,Active
808984,Len Hier,male,coloured,42,Adult,35–44,Len441@yahoocom,@Len44,Western Cape,kykNET,2016/02/19 15:58,2025-09-15 00:01:57,0,1,57,2016-02-19,2025-09-21 15:58:00,February,Friday,Weekday,Afternoon,Active
778615,None None,None,None,0,Child,Under 18,Seema484@abcmailcom,None,None,Channel O,2016/03/12 15:45,2025-09-15 00:03:45,0,3,45,2016-03-12,2025-09-21 15:45:00,March,Saturday,Weekend,Afternoon,Active
939662,Samuel Paradis,male,black,23,Young Adult,18–24,Samuel265@mailxyzcom,@Samuel26,Mpumalanga,ICC Cricket World Cup 2011,2016/03/30 12:48,2025-09-15 00:02:10,0,2,10,2016-03-30,2025-09-21 12:48:00,March,Wednesday,Weekday,Afternoon,Active
2359733,Len Pascarella,male,black,43,Adult,35–44,Len444@abcmailcom,@Len44,Gauteng,Channel O,2016/01/26 21:50,2025-09-15 00:08:33,0,8,33,2016-01-26,2025-09-21 21:50:00,January,Tuesday,Weekday,Night,Active
866215,Shane Mccown,male,black,22,Young Adult,18–24,Shane24@abcmailcom,@Shane2,Kwazulu Natal,Trace TV,2016/03/07 16:00,2025-09-15 00:04:03,0,4,3,2016-03-07,2025-09-21 16:00:00,March,Monday,Weekday,Afternoon,Active
