UserID,Full_Name,Gender,Race,Age,Age_Group,Age_Category,Email,Social_Media_Handle,Province
34,Chas Biggers,male,white,55,Adult,55–64,Chas351@yahoocom,@Chas35,Free State
39,Wilburn Crotty,male,black,54,Adult,45–54,Wilburn303@mailcom,@Wilburn30,Eastern Cape
63,Emerson Slane,male,black,51,Adult,45–54,Emerson243@mailcom,@Emerson24,Kwazulu Natal
90,Stacy Sytsma,male,coloured,49,Adult,45–54,Stacy273@mailcom,@Stacy27,Kwazulu Natal
97,Lucas Woolard,male,coloured,48,Adult,45–54,Lucas233@mailcom,@Lucas23,Free State
104,Randy Tancredi,male,black,47,Adult,45–54,Randy393@mailcom,@Randy39,Gauteng
107,Trudie Restivo,female,black,47,Adult,45–54,Trudie502@gmailcom,@Trudie50,Gauteng
108,Chas Luthy,male,coloured,47,Adult,45–54,Chas352@gmailcom,@Chas35,Western Cape
120,Jared Bilyeu,male,coloured,46,Adult,45–54,Jared503@mailcom,@Jared50,Western Cape
132,Carter Wigfall,male,black,45,Adult,45–54,Carter33@mailcom,@Carter3,Gauteng
135,Emerson Beville,male,other,45,Adult,45–54,Emerson241@yahoocom,@Emerson24,Gauteng
138,Abel Hier,male,None,45,Adult,45–54,Abel185@mailxyzcom,@Abel18,Eastern Cape
146,Filiberto Jacox,male,None,45,Adult,45–54,Filiberto43@mailcom,@Filiberto4,Western Cape
164,Claud Borelli,male,black,43,Adult,35–44,Claud345@mailxyzcom,@Claud34,Gauteng
206,Valentine Tatham,male,coloured,42,Adult,35–44,Valentine471@yahoocom,@Valentine47,Free State
212,Kyle Martello,male,black,41,Adult,35–44,Kyle63@mailcom,@Kyle6,Gauteng
249,Markus Wigfall,male,black,40,Adult,35–44,Markus192@gmailcom,@Markus19,Gauteng
305,Jacinto Hier,male,black,39,Adult,35–44,Jacinto254@abcmailcom,@Jacinto25,Eastern Cape
317,Lane Hier,male,black,38,Adult,35–44,Lane111@yahoocom,@Lane11,North West
325,Torrie Mcclaine,female,black,38,Adult,35–44,Torrie71@yahoocom,@Torrie7,Gauteng
338,Irving Vital,male,black,38,Adult,35–44,Irving51@yahoocom,@Irving5,Limpopo
345,Earl Mcclaine,male,black,38,Adult,35–44,Earl423@mailcom,@Earl42,Gauteng
385,Robby Slane,male,black,37,Adult,35–44,Robby165@mailxyzcom,@Robby16,Gauteng
444,Kyle Mcculloch,male,black,35,Adult,35–44,Kyle65@mailxyzcom,@Kyle6,Gauteng
450,Malika Sieren,female,None,35,Adult,35–44,Malika84@abcmailcom,@Malika8,Eastern Cape
464,Luanna Hoadley,female,black,35,Adult,35–44,Luanna352@gmailcom,@Luanna35,Gauteng
468,Shandra Mccollum,female,black,34,Young Adult,25–34,Shandra483@mailcom,@Shandra48,Kwazulu Natal
